,Number,State/UT,Admin_Capital,Legislative_Capital,Judiciary_Capital,Year_Capital,Former_Capital
0,"1
",Andaman and Nicobar Islands,Port Blair," —
","Kolkata
","1955
","Calcutta (1945–1955)
"
1,"2
",Andhra Pradesh,Hyderabad,Amaravati,Amaravati,1956,Kurnool
2,"3
",Arunachal Pradesh,Itanagar,"Itanagar
",Guwahati,"1986
"," —
"
3,"4
",Assam,Dispur,Guwahati,"Guwahati
","1975
",Shillong
4,"5
",Bihar,Patna,"Patna
","Patna
","1912
"," —
"
5,"6
",Chandigarh,Chandigarh," —
","Chandigarh
","1966
"," —
"
6,"7
",Chhattisgarh,Raipur,"Raipur
",Bilaspur,"2000
"," —
"
7,"8
",Dadra and Nagar Haveli and Daman and Diu,Daman," —
",Mumbai,"1945
",Mumbai (1954–1961) 
8,"9
",National Capital Territory of Delhi,New Delhi,"New Delhi
","New Delhi
","1931
"," —
"
9,"10
",Goa,Panaji,Porvorim,Mumbai,"1961
","Panaji (1961–1987)
"
10,"11
",Gujarat,Gandhinagar,"Gandhinagar
",Ahmedabad,"1960
",Ahmedabad
11,"12
",Haryana,Chandigarh,"Chandigarh
","Chandigarh
","1966
"," —
"
12,"13
",Himachal Pradesh,Shimla,Shimla (Summer),"Shimla 
",1971,Bilaspur
13,"14
",Jammu and Kashmir,Srinagar,Srinagar (Summer),Srinagar (Summer),"2019
"," —
"
14,"15
",Jharkhand,Ranchi,"Ranchi
","Ranchi
","2000
"," —
"
15,"16
",Karnataka,Bangalore,"Bangalore
","Bangalore
","1940
","(Mysore)
"
16,"17
",Kerala,Thiruvananthapuram,"Thiruvananthapuram
",Kochi,"1956
"," —
"
17,"18
",Ladakh,Leh," —
",Srinagar (Summer),"2019
",Srinagar (Summer)
18,"19
",Lakshadweep,Kavaratti," —
",Kochi,"1956
"," —
"
19,"20
",Madhya Pradesh,Bhopal,"Bhopal
",Jabalpur,"1956
",Nagpur
20,"21
",Maharashtra,Mumbai,"Mumbai (Summer)
","Mumbai
","1818
"," —
"
21,"22
",Manipur,Imphal,"Imphal
","Imphal
","1947
"," —
"
22,"23
",Meghalaya,Shillong,"Shillong
","Shillong
","1970
"," —
"
23,"24
",Mizoram,Aizawl,"Aizawl
",Guwahati,"1972
"," —
"
24,"25
",Nagaland,Kohima,"Kohima
",Guwahati,"1963
"," —
"
25,"26
",Odisha,Bhubaneswar,"Bhubaneswar
",Cuttack,"1948
",Cuttack
26,"27
",Puducherry,Pondicherry,"Pondicherry
",Chennai,"1954
",Madras
27,"28
",Punjab,Chandigarh,"Chandigarh
","Chandigarh
","1966
"," —
"
28,"29
",Rajasthan,Jaipur,"Jaipur
",Jodhpur,"1950
"," —
"
29,"30
",Sikkim,Gangtok,"Gangtok
","Gangtok
","1890
"," —
"
30,"31
",Tamil Nadu,Chennai,"Chennai
","Chennai
","1956
"," —
"
31,"32
",Telangana,Hyderabad,"Hyderabad
","Hyderabad
","2014
"," —
"
32,"33
",Tripura,Agartala,"Agartala
","Agartala
","1956
"," —
"
33,"34
",Uttar Pradesh,Lucknow,"Lucknow
",Allahabad,"1938
"," —
"
34,"35
",Uttarakhand,Dehradun,"Dehradun
",Nainital,"2000
"," —
"
35,"36
",West Bengal,Kolkata,"Kolkata
","Kolkata
","1947
"," —
"
